id,completion,matched,check_manually,Age,Sex,Education,Work,EmploymentStatus,Income,Living,State,Religion,ReligiousCaste,PoliticalAffiliation,Vote,trust,V4,V10,Selfplacement,Weight,prompt
1,"Yes, BJP.",BJP,0,36,male,upper secondary education,never,unemployed and looking for a job,4500,town,Arunachal Pradesh,Hindu,OBC (Other Backward Classes),Right / conservative,BJP,complete trust,3,4,9,0.24,"I am 36 and I am a male. I have a upper secondary education. I am unemployed and looking for a job. My personal income is about 4500. I am a Hindu. I live in a town in Arunachal Pradesh. Ideologically, I am leaning Right / conservative. I identify with BJP. I have complete trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
2,"Yes, likely for Congress.",Congress,0,51,female,primary education,currently,in paid work,15000,town,Arunachal Pradesh,Hindu,Others,Left / center left,Congress,complete trust,1,5,6,1.71,"I am 51 and I am a female. I have a primary education. I am in paid work. My personal income is about 15000. I am a Hindu. I live in a town in Arunachal Pradesh. Ideologically, I am leaning Left / center left. I identify with Congress. I have complete trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
3,"Based on the information provided, it is likely that",NA,1,50,male,bachelor,never,permanently sick,35000,town,Arunachal Pradesh,Hindu,OBC (Other Backward Classes),Right / conservative,BJP,trust,3,3,1,0.33,"I am 50 and I am a male. I have a bachelor. I am permanently sick. My personal income is about 35000. I am a Hindu. I live in a town in Arunachal Pradesh. Ideologically, I am leaning Right / conservative. I identify with BJP. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
4,"Based on the information provided, it is likely you",NA,1,51,female,lower secondary education,currently,in paid work,15000,town,Arunachal Pradesh,No religion,Others,Right / conservative,BJP,complete trust,1,3,7,0.34,"I am 51 and I am a female. I have a lower secondary education. I am in paid work. My personal income is about 15000. I am a No religion. I live in a town in Arunachal Pradesh. Ideologically, I am leaning Right / conservative. I identify with BJP. I have complete trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
6,"Based on the provided information, it's likely that",NA,1,24,male,bachelor,currently,in paid work,35000,town,Arunachal Pradesh,Hindu,OBC (Other Backward Classes),Right / conservative,BJP,complete trust,2,5,10,1.18,"I am 24 and I am a male. I have a bachelor. I am in paid work. My personal income is about 35000. I am a Hindu. I live in a town in Arunachal Pradesh. Ideologically, I am leaning Right / conservative. I identify with BJP. I have complete trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
7,I voted for BJP.,BJP,0,30,male,primary education,never,unemployed and looking for a job,15000,town,Arunachal Pradesh,Hindu,OBC (Other Backward Classes),Right / conservative,BJP,trust,2,2,5,2.45,"I am 30 and I am a male. I have a primary education. I am unemployed and looking for a job. My personal income is about 15000. I am a Hindu. I live in a town in Arunachal Pradesh. Ideologically, I am leaning Right / conservative. I identify with BJP. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
9,"Yes, BJP.",BJP,0,28,male,upper secondary education,currently,in paid work,4500,country village,Bihar,Hindu,SC (Scheduled Caste/ Dalits),Right / conservative,BJP,little trust,1,4,6,0.32,"I am 28 and I am a male. I have a upper secondary education. I am in paid work. My personal income is about 4500. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Right / conservative. I identify with BJP. I have little trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
10,I predict you voted for Congress.,Congress,0,41,male,lower secondary education,currently,in paid work,4500,country village,Bihar,Muslim,Others,Left / center left,Congress,little trust,4,2,8,0.31,"I am 41 and I am a male. I have a lower secondary education. I am in paid work. My personal income is about 4500. I am a Muslim. I live in a country village in Bihar. Ideologically, I am leaning Left / center left. I identify with Congress. I have little trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
11,I cannot predict or assume personal actions or political choices,cannot,1,43,female,bachelor,never,unemployed and looking for a job,4500,country village,Bihar,Muslim,Others,Center / liberal,Regional Party,trust,3,3,7,0.44,"I am 43 and I am a female. I have a bachelor. I am unemployed and looking for a job. My personal income is about 4500. I am a Muslim. I live in a country village in Bihar. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
12,I cannot predict past actions or personal choices.,cannot,1,24,male,no education,never,unemployed and looking for a job,4500,town,Bihar,Muslim,Others,Center / liberal,Regional Party,moderate trust,1,3,8,4.41,"I am 24 and I am a male. I have a no education. I am unemployed and looking for a job. My personal income is about 4500. I am a Muslim. I live in a town in Bihar. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
