id,completion,matched,check_manually,Age,Sex,Education,Work,EmploymentStatus,Income,Living,State,Religion,ReligiousCaste,PoliticalAffiliation,Vote,trust,V4,V10,Selfplacement,Weight,prompt
3,"Based on the information provided, it is likely that",NA,1,50,male,bachelor,never,permanently sick,35000,town,Arunachal Pradesh,Hindu,OBC (Other Backward Classes),Right / conservative,BJP,trust,3,3,1,0.33,"I am 50 and I am a male. I have a bachelor. I am permanently sick. My personal income is about 35000. I am a Hindu. I live in a town in Arunachal Pradesh. Ideologically, I am leaning Right / conservative. I identify with BJP. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
4,"Based on the information provided, it is likely you",NA,1,51,female,lower secondary education,currently,in paid work,15000,town,Arunachal Pradesh,No religion,Others,Right / conservative,BJP,complete trust,1,3,7,0.34,"I am 51 and I am a female. I have a lower secondary education. I am in paid work. My personal income is about 15000. I am a No religion. I live in a town in Arunachal Pradesh. Ideologically, I am leaning Right / conservative. I identify with BJP. I have complete trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
6,"Based on the provided information, it's likely that",NA,1,24,male,bachelor,currently,in paid work,35000,town,Arunachal Pradesh,Hindu,OBC (Other Backward Classes),Right / conservative,BJP,complete trust,2,5,10,1.18,"I am 24 and I am a male. I have a bachelor. I am in paid work. My personal income is about 35000. I am a Hindu. I live in a town in Arunachal Pradesh. Ideologically, I am leaning Right / conservative. I identify with BJP. I have complete trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
11,I cannot predict or assume personal actions or political choices,cannot,1,43,female,bachelor,never,unemployed and looking for a job,4500,country village,Bihar,Muslim,Others,Center / liberal,Regional Party,trust,3,3,7,0.44,"I am 43 and I am a female. I have a bachelor. I am unemployed and looking for a job. My personal income is about 4500. I am a Muslim. I live in a country village in Bihar. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
12,I cannot predict past actions or personal choices.,cannot,1,24,male,no education,never,unemployed and looking for a job,4500,town,Bihar,Muslim,Others,Center / liberal,Regional Party,moderate trust,1,3,8,4.41,"I am 24 and I am a male. I have a no education. I am unemployed and looking for a job. My personal income is about 4500. I am a Muslim. I live in a town in Bihar. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
20,I cannot predict individual actions or political choices.,cannot,1,41,male,upper secondary education,formerly,unemployed and looking for a job,15000,country village,Bihar,Hindu,UCH (Upper Caste Hindus),Center / liberal,Regional Party,little trust,1,4,10,0.51,"I am 41 and I am a male. I have a upper secondary education. I am unemployed and looking for a job. My personal income is about 15000. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have little trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
31,I cannot predict or assume personal actions or decisions such,cannot,1,39,female,upper secondary education,currently,in paid work,15000,country village,Bihar,Hindu,OBC (Other Backward Classes),Center / liberal,Regional Party,moderate trust,1,-8,4,0.35,"I am 39 and I am a female. I have a upper secondary education. I am in paid work. My personal income is about 15000. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
38,I cannot predict or assume personal actions or decisions without,cannot,1,47,female,no education,currently,in paid work,15000,country village,Bihar,Muslim,Others,Left / center left,Congress,complete trust,3,4,8,1.82,"I am 47 and I am a female. I have a no education. I am in paid work. My personal income is about 15000. I am a Muslim. I live in a country village in Bihar. Ideologically, I am leaning Left / center left. I identify with Congress. I have complete trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
40,"I cannot predict or assume personal actions, including voting",cannot,1,24,male,upper secondary education,never,unemployed and looking for a job,4500,country village,Bihar,Hindu,OBC (Other Backward Classes),Center / liberal,Regional Party,little trust,3,4,5,0.88,"I am 24 and I am a male. I have a upper secondary education. I am unemployed and looking for a job. My personal income is about 4500. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have little trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
48,"Based on your profile, it is likely that you",NA,1,32,female,upper secondary education,currently,in paid work,15000,town,Bihar,Hindu,OBC (Other Backward Classes),Left / center left,Congress,NA,3,1,5,0.46,"I am 32 and I am a female. I have a upper secondary education. I am in paid work. My personal income is about 15000. I am a Hindu. I live in a town in Bihar. Ideologically, I am leaning Left / center left. I identify with Congress. I have NA in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
