,id,Age,Sex,Education,Work,EmploymentStatus,Income,Living,State,Religion,ReligiousCaste,PoliticalAffiliation,Vote,trust,V4,prompt,completion,matched,check_manually,completion.1,matched.1,check_manually.1,X.1,completion.2,matched.2,check_manually.2,resampled,id_sampleno,match_vote_outcome,vote_gpt
1,1,36,male,upper secondary education,never,unemployed and looking for a job,4500,town,Arunachal Pradesh,Hindu,OBC (Other Backward Classes),Right / conservative,BJP,complete trust,3,"I am 36 and I am a male. I have a upper secondary education. I am unemployed and looking for a job. My personal income is about 4500. I am a Hindu. I live in a town in Arunachal Pradesh. Ideologically, I am leaning Right / conservative. I identify with BJP. I have complete trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]","Yes, BJP.",BJP,0,NA,NA,NA,NA,NA,NA,NA,NA,1_,TRUE,BJP
2,2,51,female,primary education,currently,in paid work,15000,town,Arunachal Pradesh,Hindu,Others,Left / center left,Congress,complete trust,1,"I am 51 and I am a female. I have a primary education. I am in paid work. My personal income is about 15000. I am a Hindu. I live in a town in Arunachal Pradesh. Ideologically, I am leaning Left / center left. I identify with Congress. I have complete trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]","Yes, likely for Congress.",Congress,0,NA,NA,NA,NA,NA,NA,NA,NA,2_,TRUE,Congress
3,3,50,male,bachelor,never,permanently sick,35000,town,Arunachal Pradesh,Hindu,OBC (Other Backward Classes),Right / conservative,BJP,trust,3,"I am 50 and I am a male. I have a bachelor. I am permanently sick. My personal income is about 35000. I am a Hindu. I live in a town in Arunachal Pradesh. Ideologically, I am leaning Right / conservative. I identify with BJP. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]","Based on the information provided, it is likely that",NA,1,I voted for BJP.,BJP,0,NA,NA,NA,NA,NA,3_,TRUE,BJP
4,4,51,female,lower secondary education,currently,in paid work,15000,town,Arunachal Pradesh,No religion,Others,Right / conservative,BJP,complete trust,1,"I am 51 and I am a female. I have a lower secondary education. I am in paid work. My personal income is about 15000. I am a No religion. I live in a town in Arunachal Pradesh. Ideologically, I am leaning Right / conservative. I identify with BJP. I have complete trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]","Based on the information provided, it is likely you",NA,1,I likely voted for BJP.,BJP,0,NA,NA,NA,NA,NA,4_,TRUE,BJP
5,6,24,male,bachelor,currently,in paid work,35000,town,Arunachal Pradesh,Hindu,OBC (Other Backward Classes),Right / conservative,BJP,complete trust,2,"I am 24 and I am a male. I have a bachelor. I am in paid work. My personal income is about 35000. I am a Hindu. I live in a town in Arunachal Pradesh. Ideologically, I am leaning Right / conservative. I identify with BJP. I have complete trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]","Based on the provided information, it's likely that",NA,1,I predict you voted for BJP.,BJP,0,NA,NA,NA,NA,NA,6_,TRUE,BJP
6,7,30,male,primary education,never,unemployed and looking for a job,15000,town,Arunachal Pradesh,Hindu,OBC (Other Backward Classes),Right / conservative,BJP,trust,2,"I am 30 and I am a male. I have a primary education. I am unemployed and looking for a job. My personal income is about 15000. I am a Hindu. I live in a town in Arunachal Pradesh. Ideologically, I am leaning Right / conservative. I identify with BJP. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]",I voted for BJP.,BJP,0,NA,NA,NA,NA,NA,NA,NA,NA,7_,TRUE,BJP
7,9,28,male,upper secondary education,currently,in paid work,4500,country village,Bihar,Hindu,SC (Scheduled Caste/ Dalits),Right / conservative,BJP,little trust,1,"I am 28 and I am a male. I have a upper secondary education. I am in paid work. My personal income is about 4500. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Right / conservative. I identify with BJP. I have little trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]","Yes, BJP.",BJP,0,NA,NA,NA,NA,NA,NA,NA,NA,9_,TRUE,BJP
8,10,41,male,lower secondary education,currently,in paid work,4500,country village,Bihar,Muslim,Others,Left / center left,Congress,little trust,4,"I am 41 and I am a male. I have a lower secondary education. I am in paid work. My personal income is about 4500. I am a Muslim. I live in a country village in Bihar. Ideologically, I am leaning Left / center left. I identify with Congress. I have little trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]",I predict you voted for Congress.,Congress,0,NA,NA,NA,NA,NA,NA,NA,NA,10_,TRUE,Congress
9,11,43,female,bachelor,never,unemployed and looking for a job,4500,country village,Bihar,Muslim,Others,Center / liberal,Regional Party,trust,3,"I am 43 and I am a female. I have a bachelor. I am unemployed and looking for a job. My personal income is about 4500. I am a Muslim. I live in a country village in Bihar. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]",I cannot predict or assume personal actions or political choices,cannot,1,"I cannot predict personal actions or decisions, including voting",cannot,1,1,"Based on your information, it is not possible to",not,1,1,11_,FALSE,No vote
10,12,24,male,no education,never,unemployed and looking for a job,4500,town,Bihar,Muslim,Others,Center / liberal,Regional Party,moderate trust,1,"I am 24 and I am a male. I have a no education. I am unemployed and looking for a job. My personal income is about 4500. I am a Muslim. I live in a town in Bihar. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]",I cannot predict past actions or personal choices.,cannot,1,I cannot predict or assume your actions or decisions based,cannot,1,2,I cannot predict personal actions or political affiliations with,cannot,1,1,12_,FALSE,No vote
11,13,39,female,upper secondary education,formerly,unemployed and looking for a job,15000,country village,Bihar,Muslim,Others,Center / liberal,Regional Party,moderate trust,1,"I am 39 and I am a female. I have a upper secondary education. I am unemployed and looking for a job. My personal income is about 15000. I am a Muslim. I live in a country village in Bihar. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]",I predict you voted for a regional party.,regional party,0,NA,NA,NA,NA,NA,NA,NA,NA,13_,TRUE,Regional Party
12,14,41,male,upper secondary education,currently,in paid work,15000,town,Bihar,Hindu,UCH (Upper Caste Hindus),Right / conservative,BJP,little trust,1,"I am 41 and I am a male. I have a upper secondary education. I am in paid work. My personal income is about 15000. I am a Hindu. I live in a town in Bihar. Ideologically, I am leaning Right / conservative. I identify with BJP. I have little trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]",I predict you voted for BJP.,BJP,0,NA,NA,NA,NA,NA,NA,NA,NA,14_,TRUE,BJP
13,15,38,male,lower secondary education,currently,in paid work,15000,country village,Bihar,Hindu,OBC (Other Backward Classes),Right / conservative,BJP,little trust,1,"I am 38 and I am a male. I have a lower secondary education. I am in paid work. My personal income is about 15000. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Right / conservative. I identify with BJP. I have little trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]","Yes, BJP.",BJP,0,NA,NA,NA,NA,NA,NA,NA,NA,15_,TRUE,BJP
14,16,35,male,lower secondary education,currently,in paid work,15000,town,Bihar,No religion,Others,Right / conservative,BJP,trust,2,"I am 35 and I am a male. I have a lower secondary education. I am in paid work. My personal income is about 15000. I am a No religion. I live in a town in Bihar. Ideologically, I am leaning Right / conservative. I identify with BJP. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]",I voted for BJP.,BJP,0,NA,NA,NA,NA,NA,NA,NA,NA,16_,TRUE,BJP
15,17,23,female,lower secondary education,currently,in paid work,35000,town,Bihar,Hindu,OBC (Other Backward Classes),Right / conservative,BJP,complete trust,1,"I am 23 and I am a female. I have a lower secondary education. I am in paid work. My personal income is about 35000. I am a Hindu. I live in a town in Bihar. Ideologically, I am leaning Right / conservative. I identify with BJP. I have complete trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]","Yes, BJP.",BJP,0,NA,NA,NA,NA,NA,NA,NA,NA,17_,TRUE,BJP
16,18,48,male,primary education,currently,in paid work,15000,town,Bihar,Hindu,OBC (Other Backward Classes),Right / conservative,BJP,moderate trust,1,"I am 48 and I am a male. I have a primary education. I am in paid work. My personal income is about 15000. I am a Hindu. I live in a town in Bihar. Ideologically, I am leaning Right / conservative. I identify with BJP. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]","Yes, BJP.",BJP,0,NA,NA,NA,NA,NA,NA,NA,NA,18_,TRUE,BJP
17,19,37,female,lower secondary education,currently,in paid work,15000,town,Bihar,Hindu,OBC (Other Backward Classes),Center / liberal,Regional Party,trust,1,"I am 37 and I am a female. I have a lower secondary education. I am in paid work. My personal income is about 15000. I am a Hindu. I live in a town in Bihar. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]","Yes, likely voted for a Regional Party.",Regional Party,0,NA,NA,NA,NA,NA,NA,NA,NA,19_,TRUE,Unknown
18,20,41,male,upper secondary education,formerly,unemployed and looking for a job,15000,country village,Bihar,Hindu,UCH (Upper Caste Hindus),Center / liberal,Regional Party,little trust,1,"I am 41 and I am a male. I have a upper secondary education. I am unemployed and looking for a job. My personal income is about 15000. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have little trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]",I cannot predict individual actions or political choices.,cannot,1,I cannot predict personal actions or political choices of individuals,cannot,1,3,"I cannot predict past or future actions of individuals,",cannot,1,1,20_,FALSE,No vote
