,id,completion,matched,check_manually,X,completion.x,matched.x,check_manually.x,id_sampleno,completion.y,matched.y,check_manually.y,Age,Sex,Education,Work,EmploymentStatus,Income,Living,State,Religion,ReligiousCaste,PoliticalAffiliation,Vote,trust,V4,V10,Selfplacement,Weight,prompt,resampled
4,31_,I predict you voted for a Regional Party.,Regional Party,0,4,I cannot provide real-time or future actions based on,cannot,1,31_,I cannot predict or assume personal actions or decisions such,cannot,1,39,female,upper secondary education,currently,in paid work,15000,country village,Bihar,Hindu,OBC (Other Backward Classes),Center / liberal,Regional Party,moderate trust,1,-8,4,0.35,"I am 39 and I am a female. I have a upper secondary education. I am in paid work. My personal income is about 15000. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]",1
6,73_,I likely voted for a Regional Party.,Regional Party,0,6,I cannot predict the specific party you voted for in,cannot,1,73_,I cannot predict personal actions or decisions.,cannot,1,20,female,upper secondary education,currently,in paid work,4500,country village,Bihar,Hindu,OBC (Other Backward Classes),Center / liberal,Regional Party,little trust,1,3,7,0.82,"I am 20 and I am a female. I have a upper secondary education. I am in paid work. My personal income is about 4500. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have little trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]",1
11,174_,voted for Other party.,Other party,0,11,I cannot predict or assume personal actions or political choices,cannot,1,174_,I cannot predict your actions or preferences.,cannot,1,29,male,bachelor,currently,in paid work,15000,town,Gujarat,Hindu,SC (Scheduled Caste/ Dalits),Other,Other party,trust,4,3,7,0.59,"I am 29 and I am a male. I have a bachelor. I am in paid work. My personal income is about 15000. I am a Hindu. I live in a town in Gujarat. Ideologically, I am leaning Other. I identify with Other party. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]",1
12,193_,I likely voted for a Regional Party.,Regional Party,0,12,"I cannot access personal data or voting records, but",cannot,1,193_,I cannot confirm if you voted or which party you,cannot,1,28,female,upper secondary education,currently,in paid work,4500,country village,Jharkhand,Hindu,ST (Scheduled Tribes),Center / liberal,Regional Party,complete trust,1,-8,5,0.33,"I am 28 and I am a female. I have a upper secondary education. I am in paid work. My personal income is about 4500. I am a Hindu. I live in a country village in Jharkhand. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have complete trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]",1
23,368_,I likely voted for BJP.,BJP,0,23,I cannot predict or assume personal actions or political choices,cannot,1,368_,I cannot predict or assume personal actions or political affili,cannot,1,40,female,no education,never,-9,8000,town,Rajasthan,Hindu,OBC (Other Backward Classes),Right / conservative,BJP,little trust,2,1,3,1.12,"I am 40 and I am a female. I have a no education. I am -9. My personal income is about 8000. I am a Hindu. I live in a town in Rajasthan. Ideologically, I am leaning Right / conservative. I identify with BJP. I have little trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]",1
24,399_,I likely voted for a Regional Party.,Regional Party,0,24,I cannot predict or confirm if you voted or which,cannot,1,399_,"Based on the information, it's likely you voted",NA,1,29,female,primary education,never,in domestic work,4500,country village,Sikkim,Hindu,ST (Scheduled Tribes),Center / liberal,Regional Party,moderate trust,2,3,8,1.63,"I am 29 and I am a female. I have a primary education. I am in domestic work. My personal income is about 4500. I am a Hindu. I live in a country village in Sikkim. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]",1
25,408_,I likely voted for Congress.,Congress,0,25,I cannot vote because I was under 18 in,cannot,1,408_,I cannot predict or assume personal actions or political choices,cannot,1,19,male,lower secondary education,never,unemployed and looking for a job,15000,country village,Tripura,Muslim,Shiya,Left / center left,Congress,trust,2,1,5,1.39,"I am 19 and I am a male. I have a lower secondary education. I am unemployed and looking for a job. My personal income is about 15000. I am a Muslim. I live in a country village in Tripura. Ideologically, I am leaning Left / center left. I identify with Congress. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]",1
28,438_,I likely voted for a Regional Party.,Regional Party,0,28,"I cannot predict individual actions or choices, including voting",cannot,1,438_,I cannot predict personal actions or decisions.,cannot,1,36,female,primary education,currently,in paid work,15000,country village,West Bengal,Muslim,Sunni,Center / liberal,Regional Party,moderate trust,1,1,5,2.01,"I am 36 and I am a female. I have a primary education. I am in paid work. My personal income is about 15000. I am a Muslim. I live in a country village in West Bengal. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]",1
29,443_,I predict you voted for a Regional Party.,Regional Party,0,29,I cannot predict or assume personal actions or political choices,cannot,1,443_,"I cannot provide real-time or future activities, thoughts",cannot,1,69,female,no education,never,in domestic work,4500,country village,West Bengal,Hindu,UCH (Upper Caste Hindus),Center / liberal,Regional Party,moderate trust,1,1,5,1.92,"I am 69 and I am a female. I have a no education. I am in domestic work. My personal income is about 4500. I am a Hindu. I live in a country village in West Bengal. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]",1
31,464_,I likely voted for a Regional Party.,Regional Party,0,31,I likely voted for the AITC (All,NA,1,464_,I cannot predict personal actions or political votes for individuals,cannot,1,34,female,primary education,never,in domestic work,4500,country village,West Bengal,Hindu,SC (Scheduled Caste/ Dalits),Center / liberal,Regional Party,moderate trust,1,1,4,1.48,"I am 34 and I am a female. I have a primary education. I am in domestic work. My personal income is about 4500. I am a Hindu. I live in a country village in West Bengal. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]",1
